pkey;key;guid;pubDate;title;description;category;link
3506;888;4225045;888.hu;Ki írta ki a liftbe azt, hogy süsü?;https://888.hu/piszkostizenketto/ki-irta-ki-a-liftbe-azt-hogy-susu-4225045/;Sun, 26 Jan 2020 13:45:12 +0200;
3507;888;4225080;888.hu;Fucsovics szettet nyert, de meccset nem Federer ellen;https://888.hu/hajra-magyarok/fucsovics-szettet-nyert-de-meccset-nem-federer-ellen-4225080/;Sun, 26 Jan 2020 13:38:35 +0200;Nagyszerű meccset játszott a magyar teniszező a svájci klasszissal.
3508;888;4225041;888.hu;A szakértő szerint sikertelen lesz a Trump ellen indított eljárás;https://888.hu/amerika-london-parizs/a-szakerto-szerint-sikertelen-lesz-a-trump-ellen-inditott-eljaras-4225041/;Sun, 26 Jan 2020 13:00:10 +0200;A Demokrata Párt a jogi helyett egyre inkább politikai síkra tereli az amerikai elnök alkotmányos felelősségre vonási eljárását (impeachment) – mondta Magyarics Tamás Amerika-szakértő szombat este az M1 aktuális csatornán.
3509;888;4225072;888.hu;Niedermüller Péter: a fehér, hetero keresztények rémisztő képződmények;https://888.hu/sivalkodjatok/niedermuller-peter-a-feher-hetero-keresztenyek-remiszto-kepzodmenyek-4225072/;Sun, 26 Jan 2020 12:40:52 +0200;No comment.
3510;888;4225034;888.hu;75 éve szabadult fel az auschwitzi haláltábor;https://888.hu/szabad-vasarnap/75-eve-szabadult-fel-az-auschwitzi-halaltabor-4225034/;Sun, 26 Jan 2020 12:15:48 +0200;1945. január 27-én szabadult fel Auschwitz-Birkenau, a leghírhedtebb haláltábor, melynek emlékére az ENSZ Közgyűlése január 27-ét a holokauszt áldozatainak nemzetközi emléknapjává nyilvánította. A holokauszt zsidó áldozatainak száma hatmillió főre tehető.
3511;888;4225031;888.hu;„Üzletággá fejlesztették az elítéltek kártérítését a balliberális ügyvédek”;https://888.hu/ketharmad/uzletagga-fejlesztettek-az-eliteltek-karteriteset-a-balliberalis-ugyvedek-4225031/;Sun, 26 Jan 2020 11:45:52 +0200;Rátelepedtek és üzletággá fejlesztették a fogvatartottak és elítéltek kártérítési rendszerét a „balliberális körökhöz és a Soros-hálózat által finanszírozott” ügyvédi irodák – mondta Budai Gyula, a Fidesz országgyűlési képviselője a Kossuth Rádió Vasárnapi Újság című műsorában.
3512;888;4225029;888.hu;Már 29-nél jár a török földrengés halálos áldozatainak száma;https://888.hu/amerika-london-parizs/mar-29-nel-jar-a-torok-foldrenges-halalos-aldozatainak-szama-4225029/;Sun, 26 Jan 2020 11:00:27 +0200;Legkevesebb 29 ember veszítette életét a legújabb adatok szerint a péntek esti délkelet-törökországi földrengésben – jelentette az Anadolu török hivatalos hírügynökség a katasztrófavédelemre (AFAD) hivatkozva szombaton.
3513;888;4225008;888.hu;Bakondi: az időjárás enyhülésével növekedni fog a tengeren érkezők száma;https://888.hu/amerika-london-parizs/bakondi-az-idojaras-enyhulesevel-novekedni-fog-a-tengeren-erkezok-szama-4225008/;Sun, 26 Jan 2020 10:15:07 +0200;Az időjárás enyhülésével a tengeren keresztül Spanyolországba és Olaszországba érkező illegális bevándorlók száma növekedni fog a kutatók és a titkosszolgálatok prognózisa szerint – mondta a miniszterelnök belbiztonsági főtanácsadója szombat este az M1 aktuális csatornán.
3514;888;4225024;888.hu;Orbán rémálma;https://888.hu/piszkostizenketto/orban-remalma-4225024/;Sun, 26 Jan 2020 09:30:39 +0200;Jakab Péter, a Jobbik új vezetője elnöki beszédében azt mondta magáról, hogy ő a miniszterelnök rémálma. Orbán Viktor nyugodt éjszakákra számíthat.
3515;888;4225000;888.hu;Hatórás űrsétát hajtott végre a Nemzetközi Űrállomás két asztronautája;https://888.hu/century-on/hatoras-ursetat-hajtott-vegre-a-nemzetkozi-urallomas-ket-asztronautaja-4225000/;Sun, 26 Jan 2020 08:58:59 +0200;Több mint hatórás sikeres űrsétát hajtott végre szombaton a Nemzetközi Űrállomás (ISS) két asztronautája, a küldetés során megszüntették a szivárgást a sötét anyag és antianyag után kutató alfa-mágneses spektrométer egyik hűtőcsövén.
3516;888;4225003;888.hu;A perzsa állam képes bármilyen dúsítottságú uránt előállítani;https://888.hu/amerika-london-parizs/iran-kepes-barmilyen-dusitottsagu-urant-eloallitani-4225003/;Sun, 26 Jan 2020 08:08:14 +0200;Irán képes bármilyen dúsítottságú urán előállítására, ha az illetékes hatóságok így döntenek – közölte szombaton Irán atomügynökségének helyettes vezetője a hivatal honlapján.
3517;888;4224994;888.hu;„Ha létezik fasiszta veszély Olaszországban, akkor az a baloldal egyre fokozódó erőszakossága.”;https://888.hu/amerika-london-parizs/ha-letezik-fasiszta-veszely-olaszorszagban-akkor-az-a-baloldal-egyre-fokozodo-eroszakossaga-4224994/;Sat, 25 Jan 2020 21:17:42 +0200;Paolo Borchia, a LIGA európai parlamenti képviselője a baloldal gyengülésének okairól és az Európai Néppárt hibás stratégiájáról is beszélt egy interjúban.
3518;888;4224984;888.hu;Trump ügyvédjei szerint a demokraták a korábbi választási eredményt is felülírnák;https://888.hu/amerika-london-parizs/trump-ugyvedjei-szerint-az-eljaras-beavatkozas-a-valasztasi-folyamatba-4224984/;Sat, 25 Jan 2020 20:30:16 +0200;A Trump elnök elleni alkotmányos felelősségre vonási eljárással (impeachment) a demokraták az amerikai történelem legnagyobb beavatkozását követik el a választási folyamatba – hangoztatták az eljárás szenátusi tárgyalásán az elnök védői szombaton.
3519;888;4224977;888.hu;Kolbász- és sajtfesztivált rendeznek a hétvégén Budán;https://888.hu/888/kolbasz-es-sajtfesztivalt-rendeznek-budan-most-hetvegen-4224977/;Sat, 25 Jan 2020 20:00:23 +0200;Ezen a hétvégén tartják a Kolbász- és sajtfesztivált a Millenárison. A rendezők célja, megismertetni a hazai közönséggel a legfinomabb ételeket-italokat, különösen a kézműves húskészítményeket és tejtermékeket. Számos előadóval, és folklór programmal is készülnek a szervezők, és mindenkit szeretettel várnak az ingyenesen látogatható rendezvényre.
3520;888;4224978;888.hu;Ma egy német embercsempész hajó halászott ki újabb migránsokat a tengerből;https://888.hu/amerika-london-parizs/ma-egy-nemet-embercsempesz-hajo-halaszott-ki-ujabb-migransokat-a-tengerbol-4224978/;Sat, 25 Jan 2020 19:25:23 +0200;Hetvennyolc migránst vett fedélzetére a Földközi-tengeren, Líbia partjainak közelében az Alan Kurdi német civil hajó két különböző műveletben – közölte a Sea-Eye segélyszervezet szóvivője szombaton.
3521;888;4224948;888.hu;Járdának nézte az úttestet és lerugdosta az autókat a „bemindenezett” migráns – Itt látható a videó!;https://888.hu/amerika-london-parizs/jardanak-nezte-az-uttestet-es-lerugdosta-az-autokat-a-bemindenezett-migrans-itt-lathato-a-video-4224948/;Sat, 25 Jan 2020 18:40:56 +0200;Nem érezte magát otthonosan az afrikai migráns – pedig még zebra is volt a közelben -, ezért rongálni kezdte az úton elhaladó gépkocsikat.
3522;888;4224960;888.hu;Újabb magyar érmeket szereztek a Liu testvérek!;https://888.hu/hajra-magyarok/ujabb-magyar-ermeket-szereztek-a-liu-testverek-4224960/;Sat, 25 Jan 2020 17:55:06 +0200;Egy arany- és egy ezüstérmet szereztek 500 méteren, a rövidpályás gyorskorcsolya EB-n.
3523;888;4224941;888.hu;Válságban a Jobbik, nincs, ki rájuk szavazzon;https://888.hu/ketharmad/valsagban-a-jobbik-nincs-ki-rajuk-szavazzon-4224941/;Sat, 25 Jan 2020 17:30:53 +0200;Válságban van a szavazóit folyamatosan elvesztő Jobbik, a párt népszerűsége megfeleződött 2014 óta – közölte a Magyar Nemzetnek készített elemzése alapján a Nézőpont Intézet szombaton.
